Question,Answer,,,,
What was Adams' political party?,The Federalist Party.,,,,
Where did Coolidge's grandfather had government offices?,The town of Plymouth Notch,,,,
What years were Coolidge's two sons born in?,1906 and 1908,,,,
"In addition to Port Royal, where else did Samuel de Champlain establish a settlement?",Quebec City,,,,
What percentage of the population don't speak English or French at home?,28.00%,,,,
What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. ",,,,
Do ducks forage underwater?,ving ducks and sea ducks forage underwater,,,,
What economic uses to ducks have?,"They can be farmed for meat, eggs, and feathers",,,,
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",,,,
What are some common predators of ducks?,"pike, crocodilians, and other aquatic hunters",,,,
Is Drake a male?,No,,,,
What is the world population of Asian elephants?,"ld population of Asian elephants – also called Indian Elephants or Elephas maximus – is estimated to be around 60,000",,,,
What part of an elephant is very important for temperature regulation?,The large flapping ears of an elephant are also very important for temperature regulation.,,,,
Where was the largest elephant ever recorded shot?,Angola,,,,
Which Russian army general conquered Finland in 1809?,Alexander I,,,,
What body of water lies to the south of Finland?,the Gulf of Finland,,,,
What is the life expectancy for men?,75 years,,,,
What is the biggest city in Finland?,Greater Helsinki,,,,
Where is Finland located?,Northern Europe,,,,
When did the first verifiable written documents appear?,Twelfth Century,,,,
Who did Ford nominate for Vice President?,Nelson Rockefeller,,,,
What district was Ford elected from?,Michigan's 5th congressional district,,,,
Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger,,,,
How do kwajalein and eniwetok relate?, Monterey supported landings at both locations.,,,,
"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.,,,,
Where is old Ghana in relation to present Ghana?,500 miles north,,,,
Do wolf pups tend to have darker fur than adults?,"Yes, They do tend to have darker fur",,,,
How much do wolves weigh?,between 32 and 68 kilograms ,,,,
What is surplus killing?,the killing of several prey animals too numerous to eat at one sitting,,,,
Where is the largest gray wolf population thought to be found?,Kazakhstan,,,,
What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps,,,,
"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance,,,,
Where was Grover Cleveland married?, the White House,,,,
Who did Cleveland run against in 1884?,former Senator James G. Blaine of Maine,,,,
Why did Cleveland want to hide his cancer surgery from the public?, avoid further market panic,,,,
What led Becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed,,,,
Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Henri Becquerel,,,,
What happened with a bromide emulsion in two sheets of very thick black paper?,the plate does not become clouded upon being exposed to the sun for a day,,,,
Which spice originally attracted Europeans to Indonesia?,"nutmeg, cloves, or cubeb pepper",,,,
When did Islam become the dominant religion in Java and Sumatra?,the end of the 16th century,,,,
What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,,,,
"What does ""Era of Good Feelings"" refers to?","Monroe allowed his political base to decay, which reduced tensions and led to the naming of his era as the ""Era of Good Feelings"".",,,,
What did James Monroe do before being elected governor?,He practiced law in Virginia,,,,
n which years were John Monroe elected as President?,1817-1825,,,,
Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?,George Washington,,,,
Which property did James Monroe sell in 1817?,Monroe Hill on the grounds of the University of Virginia.,,,,
Who did James Monroe live with in New York City?,His daughter Maria Hester Monroe Gouverneur,,,,
What did James Monroe's letters not contain?,No letters survive in which he might have discussed his religious beliefs.,,,,
Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?,Monroe,,,,
Who dismantled partisan and sectional coalitions ?,many congressmen,,,,
Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman.",,,,
"The John Adams Library , housed at the Boston Public Library , contains what?","Adams's personal collection of more than 3,500 volumes",,,,
What is a collective noun for kangaroos?,"mob, troop, or court",,,,
Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.,,,,
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria,,,,
What is the average life expectancy of a kangaroo?,4.6 years,,,,
What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi",,,,
hat is used to protect a vehicale from a Kangaroo?,roo bars,,,,
Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians,,,,
What is a hybrid animal resulting from a union between a leopard and a puma?,A pumapard,,,,
How did early naturalists distinguish between leopards and panthers?,"By the length of the tail, panthers having longer tails than leopards",,,,
What shape are a leopard's black rosettes in East Africa?,circular,,,,
Where is the leopard distributed?,southern Eurasia and Africa,,,,
How long is a leopard's tail?,60 to 110cm,,,,
What is the difference between leopards and cheetahs?,"The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar.",,,,
What company administers Leichtenstein's railways?,Austrian Federal Railways,,,,
Who got Seward elected to the senate?,Weed ultimately got Seward elected to the senate,,,,
What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds",,,,
What did Taylor and Fillmore disagree upon?,slavory issues,,,,
How did the supporters of Henry Clay feel about Fillmore in 1848?,angry,,,,
How many species and genera does otter have?,13 species and 7 genera,,,,
What drives sea otter almost to extinction?,Humans hunted them almost to extinction.,,,,
Why otters are considered as totem animals?,"The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19.",,,,
How do otters keep themselves warm without blubber?,A layer of air trapped in their fur.,,,,
What is the largest living species of penguin?,Emperor Penguin,,,,
How much time to penguins spend on land?,half of their life,,,,
How tall were the tallest prehistoric penguins?,1.80 meters,,,,
"Why do penguins ""tobaggan""?",It conserves energy while moving quickly,,,,
Who spend half of their life on land and half in the oceans?,Penguins,,,,
What happened in a region not quite 2000 km south of the equator 35 mya?,At least one giant penguin.,,,,
What is polar bear's skin color?,white or cream,,,,
What is cause of polar bear's skin diseases?,mites or other parasites,,,,
What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear about 200 thousand years ago.,,,,
How heavy was the largest polar bear on record?,1002 kg (2200 lb),,,,
What does a polar bear's fur provide?,It provides the animal with effective camouflage.,,,,
How much weight do female polar bears gain during pregnancy?,They gain double their weight.,,,,
What do with greenpeace and the natural resources defense council have in common?,They filed lawsuits in California.,,,,
Where did a suicide-bombing kill a teacher in 2005?,Doha Players Theatre,,,,
How do qatar and the wider region relate?,Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market,,,,
What bordered by Saudi?,Qatar,,,,
What happened in these positions in english?,These allophones cannot occur there,,,,
How many countries in Europe are bigger than Romania?  ,eleven,Moldoveanu Peak.,,,
Did Singapore's standard of living decrease since independence?,"No, the standard living was raised.",investments worth 400 million euros,,,
How is Singapore's climate characterized?,Singapore has a tropical rainforest climate with no distinctive seasons.,,,,
How much increase in the media's contribution to GDP is the government seeking?,The government seeks to increase its GDP contribution to 3% by 2012.,,,,
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,6 days,,,,
What is the national language of Singapore?,The national language of Singapore is Malay.,,,,
Where is the National Orchid Garden?,Singapore Botanic Gardens,,,,
Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important.",,,,
How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,"""mixing of the races on social occassions""",,,,
Are turtles pets?,Yes,,,,
What shape are the eggs of the larest species of turtle?,Spherical,,,,
What has been discovered about turtles organs?,They do not gradually break down or become less efficient over time,,,,
Do sea turtles lay eggs on dry sandy beaches?,Yes,,,,
"If a turtle egg was kept warm, what would likely hatch?",A female turtle.,,,,
Are turtle eggs leathery and soft?,yes,,,,
What is the smallest suborder of turtles?,Pleurodira,,,,
What are deposited in holes dug into mud or sand?,eggs,NULL,easy,data/set1/a9,
Who did Wilson win in 1917?,Irish Americans,all of them,NULL,medium,data/set1/a9
Was Wilson awarded the 1919 Nobel Peace Prize?,Yes,yes,NULL,easy,data/set1/a9
Was Wilson a remarkably effective writer and thinker?,Yes,yes,NULL,easy,data/set1/a9
What lived in Columbia?,Wilson,yes,NULL,easy,data/set1/a9
Was Wilson president of the American Political Science Association in 1910 ?,Yes,a rich blood supply,NULL,medium,data/set1/a9
Did he not cast his ballot for John M. Palmer , the presidential candidate of the National Democratic Party ,,,,
Did Wilson not spend 1914 through the beginning of 1917 trying to keep America out of the war in Europe ?,Yes,,,,
Did he receive the Society`s 1794 Copley Medal?,Yes,,,,
Did he experiment with individual cells?,Yes,,,,
When did lombardy come under Napoleon`s rule?,From 1796 to 1815,,,,
Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society,,,,
Did he become professor of experimental physics at the University of Pavia?,Yes,,,,
Is it true that his passion been always the study of electricity?,Yes,,,,
His passion been always the study of what?,Electricity,,,,
Is it true that Volta married the daughter of Count Ludovico Peregrini?,Yes,,,,
Is it true that he published his invention of the Voltaic pile battery?,Yes,,,,
Was Amedeo Avogadro Italian?,Yes,,,,
What are Ottawa's primary industries?,Logging and lumber,,,,
What is Ottawa's junior ice hockey team?,the Ottawa 67's,,,,
What is Ottawa's major league hockey team?,the Ottawa Senators,,,,
What are Carleton University's athletic teams called?,Carleton Ravens,,,,
Is Ottawa colder than Moscow in January?,Yes,,,,
Is Ottawa on a river?,yes,,,,
Whate is the usual pitch range of a violin?,from G3 to C8,,,,
Are xylophone bars made of rosewood?,yes,,,,
Is the xylophone a precursor to the vibraphone?,yes,,,,
Were ancient mallets made of copper?,no,,,,
Where did the xylophone originated in the world?,Indonesia,,,,
What is the earliest historical reference in Europe?,Arnold Schlick's Spiegel der Orgelmacher und Organisten,,,,
How are western-style xylophones characterised?,by a bright,,,,
Can a xylophone be 3 octaves?,yes,,,,
Can a short bar follow a long bar?,no,,,,
Did vibraphones exist in 1930?,yes,,,,
About how many square kilometers would be needed to house 3 female tigers?,60 square kilometer,,,,
Would a tiger be likely to feedon smaller animals, such as mice?,,,,
Did the predecessors to trumpets have valves?,No,,,,
Are trumpets constructed of brass?,Yes,,,,
Is the bass trumpet the smallest trumpet?,No,,,,
What musical styles is the trumpet used in?,Ska,,,,
What is the most common type of trumpet?,The B trumpet.,,,,
How does a trumpet produce sound?,By blowing air through closed lips.,,,,
How do trumpets compensate for wolf tones?,Somce trumpetes have a slide mechanism built in to compensate.,,,,
Did Miles Davis play the trumpet?,Yes,,,,
Does a trumpet have a mellower tone than a cornet?,No,,,,
Is the name of the upper shell of a turtle called the plastron?,No.,,,,
Do scutes fall away from the turtle's shell?,Some of the scutes eventually fall away from the shell.,,,,
Who was the first president of India?,Rajendra Prasad.,,,,
Who is the president of India?,Ram Nath Kovind,,,,
